#	THĂNG
$	ĐỒNG
COPYWRITER	CỐP BI ROAI TƠ
CORALL	CÔ RAN
CORDILLERA	COÓC ĐI LÊ RA
CORELLI	CÔ RÊ LI
CORIOLIS	CÔ RI Ô LÍT
CORK	COÓC
CORNEILLE	COÓC NÂY
CORNELL	CÔ NEN
COROMANDEL	CÔ RÔ MAN ĐEN
COROT	CÔ RỐT
COROZAL	CÔ RÔ GIAN
CORPORATION	CO BÔ RÂY SẦN
CORREGGIO	CÔ RE GIÔ
CORRSE	COÓC XƠ
CORTEZ	COÓC TÉT
CORTI	COÓC TI
CORTOT	COÓC TỐT
CORUNA	CÔ RU NA
COS	CỐT
COSER	CÔ XƠ
COSEVCO	CÔ XÉP CÔ
COSTA	CÓT TA
COSTER	CỐT TƠ
COSTINHA	CỐT TI NHA
COTONOU	CÔ TÔ NU
COTOPAXI	CÔ TÔ BA XI
COTTBUS	CỐT BÚT
COTU	CƠ TU
COUBERTIN	CU BÉC TIN
COURBET	CUỐC BÉT
COURCY	CUỐC XI
COURNOT	CUỐC NÓT
COUSIN	CAU SIN
COUVELAIRE	CU VƠ LE
COVENTRY	CÔ VEN TRY
COWPER	CAO BƠ
CPBĐ	CỔ PHẦN BÓNG ĐÁ
CPBĐPNRĐ	CỔ PHẦN BÓNG ĐÈN PHÍCH NƯỚC RẠNG ĐÔNG
CPBV	CỔ PHIẾU BẢO VIỆT
CPBVTV	CỔ PHẦN BẢO VỆ THỰC VẬT
CPBXKTN	CÔNG TY CỔ PHẦN BẾN XE KHÁCH TÂY NINH
CPCK	CỔ PHẦN CHỨNG KHOÁN
CPCKXD	CỔ PHẦN CƠ KHÍ XÂY DỰNG
CPCMVNTD	CHÍNH PHỦ CÁCH MẠNG VIỆT NAM TỰ DO
CPDMNT	CỔ PHẦN DỆT MAY NHA TRANG
CPDNT	CỔ PHẦN DOANH NGHIỆP TRẺ
CPĐOSG	CỔ PHẦN ĐỊA ỐC SÀI GÒN
CPĐT	CHÍNH PHỦ ĐIỆN TỬ
CPĐTPT	CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN
CPĐTTM	CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI
CPĐTXD	CỔ PHẦN ĐẦU TƯ XÂY DỰNG
CPDVBV	CỔ PHẦN DỊCH VỤ BẢO VỆ
CPDVDL	CỔ PHẦN DỊCH VỤ DU LỊCH
CPDVDLĐL	CỔ PHẦN DỊCH VỤ DU LỊCH ĐÀ LẠT
CPH	CỔ PHẦN HÓA
CPHH	CỔ PHẦN HÀNG HẢI
CPHT	CÀ PHÊ HOÀ TAN
CPITN	CỔ PHẦN IN THÁI NGUYÊN
CPKSPT	CỔ PHẦN KHÁCH SẠN PHAN THIẾT
CPKTXD	CỔ PHẦN KIẾN TRÚC XÂY DỰNG
CPN	CHUYỂN PHÁT NHANH
CPPTCN	CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ
CPPTNN	CỔ PHẦN PHÁT TRIỂN NÔNG NGHIỆP
CPQT	CÔNG PHÁP QUỐC TẾ
CPSH	CHẾ PHẨM SINH HỌC
CPTB	CỔ PHẦN THIẾT BỊ
CPTBD	CỔ PHẦN THÁI BÌNH DƯƠNG
CPTCCG	CỔ PHẦN THI CÔNG CƠ GIỚI
CPTĐ	CỔ PHẦN THUỶ ĐIỆN
CPTM	CỔ PHẦN THƯƠNG MẠI
CPTMMN	CỔ PHẦN THƯƠNG MẠI MIỀN NÚI
CPTN	CÀ PHÊ TRUNG NGUYÊN
CPTP	CẦU PHÀ THÀNH PHỐ
CPTS	CỔ PHẦN THỦY SẢN
CPTVXDVCN	CỔ PHẦN TƯ VẤN XÂY DỰNG VÀ CÔNG NGHỆ
CPƯĐ	CỔ PHẦN ƯU ĐÃI
CPVT	CỔ PHẦN VẬN TẢI
CPXD	CỔ PHẦN XÂY DỰNG
CPXDCT	CỔ PHẦN XÂY DỰNG CÔNG TRÌNH
CPXDCTGT	CỔ PHẦN XÂY DỰNG CÔNG TRÌNH GIAO THÔNG
CPXDLS	CỔ PHẦN XÂY DỰNG LẠNG SƠN
CPXL	CỔ PHẦN XÂY LẮP
CPXNK	CỔ PHẦN XUẤT NHẬP KHẨU
CQ	CƠ QUAN
CQCA	CƠ QUAN CÔNG AN
CQCSĐT	CƠ QUAN CẢNH SÁT ĐIỀU TRA
CQĐD	CƠ QUAN ĐẠI DIỆN
CQĐT	CƠ QUAN ĐIỀU TRA
CQĐV	CƠ QUAN ĐƠN VỊ
CQLD	CỤC QUẢN LÝ DƯỢC
CQLG	CỤC QUẢN LÝ GIÁ
CQNN	CƠ QUAN NHÀ NƯỚC
CQSDĐ	CHUYỂN QUYỀN SỬ DỤNG ĐẤT
CQTT	
CRAFTS	CỜ RÁP
CRAIG	ROAY
CRANACH	CỜ RA NẮC
CRANE	CỜ REN
CRASSUS	CỜ RÁT XÚT
CRAWFORD	CỜ RÔ PHỚT
CREMONA	CỜ RÊ MÔ NA
CRESPO	RÉT BÔ
CREUSOT	CỜ RU SỐT
CRICK	CỜ RÍCH
CRISTIAN	RÍT TI AN
CRISTIANO	RÍT TI A NÔ
CROATIA	RỐT TI A
CROMWELL	CỜ RÔM QUEN
CROOKES	CỜ RÚC
CROUCH	CỜ RAO
CROW	RÔ
CRUISE	RU
CRUZ	RU
CRYSTAL	RÍT TÔN
CSBV	CẢNH SÁT BẢO VỆ
CSBVN	CẢNH SÁT BIỂN VIỆT NAM
CSCC	CHIẾU SÁNG CÔNG CỘNG
CSCĐ	CẢNH SÁT CƠ ĐỘNG
CSCN	CHỮ SỐ CÓ NGHĨA
CSĐ	CHỈ SỐ ĐIỆN
CSDL	CƠ SỞ DỮ LIỆU
CSDN	CƠ SỞ DOANH NGHIỆP
CSĐN	CẢNH SÁT ĐẶC NHIỆM
CSĐT	CẢNH SÁT ĐIỀU TRA
CSĐTBT	CẢNH SÁT ĐIỀU TRA BÌNH THUẬN
CSĐTPN	CẢNH SÁT ĐIỀU TRA PHÍA NAM
CSĐTTP	CẢNH SÁT ĐIỀU TRA TỘI PHẠM
CSĐTTPMT	CẢNH SÁT ĐIỀU TRA TỘI PHẠM MA TÚY
CSĐTTPQLKT	CẢNH SÁT ĐIỀU TRA TỘI PHẠM QUẢN LÝ KINH TẾ
CSĐTTPTTXH	CẢNH SÁT ĐIỀU TRA TỘI PHẠM TRẬT TỰ XÃ HỘI
CSĐTTPVMT	CẢNH SÁT ĐIỀU TRA TỘI PHẠM VỀ MA TÚY
CSG	CÁP SÀI GÒN
CSGD	CƠ SỞ GIÁO DỤC
CSGMGC	CƠ SỞ GIẾT MỔ GIA CẦM
CSGT	CẢNH SÁT GIAO THÔNG
CSGTĐT	CẢNH SÁT GIAO THÔNG ĐƯỜNG THỦY
CSGTTT	CẢNH SÁT GIAO THÔNG TRẬT TỰ
CSHCM	CỘNG SẢN HỒ CHÍ MINH
CSHS	CẢNH SÁT HÌNH SỰ
CSHSĐN	CẢNH SÁT HÌNH SỰ ĐẶC NHIỆM
CSHT	CƠ SỞ HẠ TẦNG
CSKD	CƠ SỞ KINH DOANH
CSKDCD	CƠ SỞ KINH DOANH CẤP DƯỠNG
CSKH	CHĂM SÓC KHÁCH HÀNG
CSKT	CẢNH SÁT KINH TẾ
CSKTXH	CHÍNH SÁCH KINH TẾ XÃ HỘI
CSKV	CẢNH SÁT KHU VỰC
CSMT	CẢNH SÁT MÔI TRƯỜNG
CSND	CẢNH SÁT NHÂN DÂN
CSPCCC	CẢNH SÁT PHÒNG CHÁY CHỮA CHÁY
CSPCMT	CẢNH SÁT PHÒNG CHỐNG MA TÚY
CSQLHC	CẢNH SÁT QUẢN LÝ HÀNH CHÍNH
CSSK	CHĂM SÓC SỨC KHỎE
CSSX	CƠ SỞ SẢN XUẤT
CSSXNT	CƠ SỞ SẢN XUẤT NƯỚC TƯƠNG
CSTĐ	CAO SU TIỂU ĐIỀN
CSTE	CHĂM SÓC TRẺ EM
CSTHN	CHUNG SỐNG TRƯỚC HÔN NHÂN
CSTN	CAO SU THIÊN NHIÊN
CSTP	CẢNH SÁT TƯ PHÁP
CSTQ	CỘNG SẢN TRUNG QUỐC
CSTT	CHÍNH SÁCH TIỀN TỆ
CSVC	CƠ SỞ VẬT CHẤT
CSVL	CAO SU VIỆT LÀO
CSVN	CỘNG SẢN VIỆT NAM
CSX	CỤM SẢN XUẤT
CSXH	CHÍNH SÁCH XÃ HỘI
CSXK	CAO SẢN XUẤT KHẨU
CT	CHƯƠNG TRÌNH
CTBT	CHẾ TẠO BIẾN THẾ
CTC	CỔ TỬ CUNG
CTCH	CHẤN THƯƠNG CHỈNH HÌNH
CTCK	CÔNG TY CHỨNG KHOÁN
CTCLQG	CHƯƠNG TRÌNH CHỐNG LAO QUỐC GIA
CTCP	CÔNG TY CỔ PHẦN
CTCPNB	CÔNG TY CỔ PHẦN NAM BỘ
CTCPXNKLT	CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU LƯƠNG THỰC
CTCS	CÔNG TY CAO SU
CTĐ	CHỮ THẬP ĐỎ
CTDCVL	CỤM TUYẾN DÂN CƯ VÙNG LŨ
CTĐKH	CHỮ THẬP ĐỎ KHÁNH HÒA
CTĐT	CHỨNG TỪ ĐIỆN TỬ
CTĐVN	CHỮ THẬP ĐỎ VIỆT NAM
CTGD	CHƯƠNG TRÌNH GIÁO DỤC
CTGĐ	CÔNG TÁC GIA ĐÌNH
CTGLVH	CHƯƠNG TRÌNH GIAO LƯU VĂN HÓA
CTGT	CÔNG TRÌNH GIAO THÔNG
CTGTCC	CÔNG TRÌNH GIAO THÔNG CÔNG CHÍNH
CTH	CÁCH THỰC HIỆN
CTHCQG	CHÍNH TRỊ HÀNH CHÍNH QUỐC GIA
CTHCQGHCM	CHÍNH TRỊ HÀNH CHÍNH QUỐC GIA HỒ CHÍ MINH
CTHĐQT	CHỦ TỊCH HỘI ĐỒNG QUẢN TRỊ
CTKB	CHO THUÊ KHO BÃI
CTKH	CHU TRÌNH KẾT HỢP
CTKT	CẤU TẠO KIẾN TRÚC
CTLT	CHIẾN TRANH LÃNH THỔ
CTMP	
CTMT	CẤU TRÚC MÁY TÍNH
CTNH	CHẤT THẢI NGUY HẠI
CTNHN	CUNG THIẾU NHI HÀ NỘI
CTPB	CHƯƠNG TRÌNH PHÂN BAN
CTPH	CHƯƠNG TRÌNH PHỐI HỢP
CTQG	CHÍNH TRỊ QUỐC GIA
CTQS	CHÍNH TRỊ QUÂN SỰ
CTSN	CHẤN THƯƠNG SỌ NÃO
CTTCMR	CHƯƠNG TRÌNH TIÊM CHỦNG MỞ RỘNG
CTTĐ	CÔNG TRÌNH THUỶ ĐIỆN
CTTETTVN	CỨU TRỢ TRẺ EM TÀN TẬT VIỆT NAM
CTTG	CHÍNH TRỊ THẾ GIỚI
CTTH	CHƯƠNG TRÌNH TIỂU HỌC
CTTL	CÔNG TRÌNH THỦY LỢI
CTUB	CHỦ TỊCH UỶ BAN
CTV	CỘNG TÁC VIÊN
CTVN	CÔNG THƯƠNG VIỆT NAM
CTXD	CÔNG TRÌNH XÂY DỰNG
CTXH	CÔNG TÁC XÃ HỘI
CTXKTS	CHƯƠNG TRÌNH XUẤT KHẨU THỦY SẢN
CTYT	CHẤT THẢI Y TẾ
CTYTNHH	CÔNG TY TRÁCH NHIỆM HỮU HẠN
CUBA	CU BA
CUBANGO	CU BAN GÔ
CUELLAR	CU Ê LA
CUENCA	CU EN CA
CUNHA	CUN HA
CUP	CÚP
CURIE	CU RI
CURITIBA	CU RI TI BA
CUSTOU	CÚT TU
CUVIER	CU VI Ê
CUZCO	CÚT CÔ
CVA	CHU VĂN AN
CVBT	CÔNG VĂN BÁO TỬ
CVCS	CONG VẸO CỘT SỐNG
CVCX	CÔNG VIÊN CÂY XANH
CVD	CUỘC VẬN ĐỘNG
CVĐ	CUỘC VẬN ĐỘNG
CVH	CUNG VĂN HÓA
CVL	CHÂU VĂN LIÊM
CVNT	CẢNG VỤ NHA TRANG
CVP	CHÁNH VĂN PHÒNG
CVPM	CÔNG VIÊN PHẦN MỀM
CVPMQT	CÔNG VIÊN PHẦN MỀM QUANG TRUNG
CVT	CÁP VIỄN THÔNG
CVTDB	CÁP VIỄN THÔNG DƯỚI BIỂN
CVVH	CÔNG VIÊN VĂN HÓA
CVVT	CÔNG VIÊN VŨ TRỤ
CXH	CẢM XUYÊN HƯƠNG
CXL	CHẤT XỬ LÝ
CXT	CHẤT XÚC TÁC
CZECH	SÉT
D	DỜ
Đ	ĐỜ
Đ/KG	ĐỒNG MỘT KÍ
Đ/L	ĐỒNG MỘT LÍT
Đ/M3	ĐỒNG MỘT MÉT KHỐI
DAEWOO	ĐÊ U
DAFU	ĐA PHU
DAILY	ĐAI LY
DAISY	ĐÊ SI
DAKOTA	ĐA CÔ TA
DAKRONG	ĐẮC RÔNG
ĐAKT	ĐỒ ÁN KIẾN TRÚC
DALI	ĐA LI
DALLAS	ĐA LÁT
DANCE	ĐEN
DANCING	ĐEN XIN
DANIEL	ĐA NEO
ĐAQĐ	ĐIỆN ẢNH QUÂN ĐỘI
DARFUR	ĐA PHUA
DARREN	ĐA REN
DATC	DỰ ÁN TÀI CHÍNH
ĐATQ	ĐIỆN ẢNH TRUNG QUỐC
DAUD	ĐA ÚT
DAVE	ĐẾP
DAVENPORT	ĐA VEN PHÓT
DAVID	ĐA VÍT
DAVIDS	ĐÊ VÍT
DAVIS	ĐÊ VÍT
ĐAVN	ĐIỆN ẢNH VIỆT NAM
DAXD	DỰ ÁN XÂY DỰNG
DAXDNMNS	DỰ ÁN XÂY DỰNG NHÀ MÁY NƯỚC SẠCH
ĐB	ĐẠI BIỂU
ĐBBB	ĐỒNG BẰNG BẮC BỘ
ĐBCL	ĐẢM BẢO CHẤT LƯỢNG
ĐBCT	ĐƯỜNG BỘ CAO TỐC
ĐBĐ	ĐIỂM BƯU ĐIỆN
ĐBĐT	ĐIỆN BÁO ĐIỆN THOẠI
ĐBĐTH	ĐOÀN BÓNG ĐÁ THANH HOÁ
DBĐV	DỰ BỊ ĐỘNG VIÊN
ĐBĐVN	ĐOÀN BƯU ĐIỆN VIỆT NAM
ĐBGPMB	ĐỀN BÙ GIẢI PHÓNG MẶT BẰNG
ĐBGT	ĐỀN BÙ GIẢI TỎA
ĐBGTĐT	ĐẢM BẢO GIAO THÔNG ĐƯỜNG THỦY
ĐBHSXB	ĐÁNH BẮT HẢI SẢN XA BỜ
ĐBKK	ĐẶC BIỆT KHÓ KHĂN
DBKTTV	DỰ BÁO KHÍ TƯỢNG THỦY VĂN
ĐBP	ĐIỆN BIÊN PHỦ
ĐBQH	ĐẠI BIỂU QUỐC HỘI
ĐBSCL	ĐỒNG BẰNG SÔNG CỬU LONG
ĐBSH	ĐỒNG BẰNG SÔNG HỒNG
ĐBTH	ĐỀN BÙ THIỆT HẠI
ĐBTN	ĐẠI BIỂU THANH NIÊN
ĐBTSXB	ĐÁNH BẮT THỦY SẢN XA BỜ
ĐBVN	ĐƯỜNG BỘ VIỆT NAM
ĐBXB	ĐÁNH BẮT XA BỜ
DCCS	DÂN CHỦ CƠ SỞ
DCĐ	DÂN CHÍNH ĐẢNG
ĐCĐ	ĐỒNG CỔ ĐÔNG
ĐCĐC	ĐỊNH CANH ĐỊNH CƯ
DCĐN	DÂN CHỦ ĐA NGUYÊN
DCGC	DỊCH CÚM GIA CẦM
ĐCN	ĐIỂM CÔNG NGHIỆP
DCND	DÂN CHỦ NHÂN DÂN
ĐCNĐ	ĐỊA CHÍNH NHÀ ĐẤT
ĐCNĐĐT	ĐỊA CHÍNH NHÀ ĐẤT ĐÔ THỊ
ĐCNN	ĐỘ CHIA NHỎ NHẤT
ĐCQ	ĐẢNG CẦM QUYỀN
DCQHBN	DÂN CA QUAN HỌ BẮC NINH
ĐCQT	ĐẲNG CẤP QUỐC TẾ
ĐCS	ĐẢNG CỘNG SẢN
ĐCSLX	ĐẢNG CỘNG SẢN LIÊN XÔ
ĐCSTQ	ĐẢNG CỘNG SẢN TRUNG QUỐC
ĐCSVN	ĐẢNG CỘNG SẢN VIỆT NAM
ĐCT	ĐOÀN CHỦ TỊCH
ĐCTC	ĐỊNH CHẾ TÀI CHÍNH
ĐCTCP	ĐOÀN CÔNG TÁC CHÍNH PHỦ
DCTD	DI CƯ TỰ DO
ĐCXB	ĐẠI CHIẾN XÍCH BÍCH
DCXH	DÂN CHỦ XÃ HỘI
DĐ	DI ĐỘNG
ĐD	ĐẠO DIỄN
ĐDB	ĐẠI DANH BỘ
ĐĐCC	ĐỊA ĐẠO CỦ CHI
DDĐHH	DUNG DỊCH ĐIỆN HOẠT HOÁ
DDDN	DIỄN ĐÀN DOANH NGHIỆP
ĐĐK	ĐẠI ĐOÀN KẾT
ĐĐN	ĐỘI ĐẶC NHIỆM
DDNS	DIỄN ĐÀN NHÂN SỰ
ĐDNVK	ĐOÀN DOANH NGHIỆP VIỆT KIỀU
DDQG	DINH DƯỠNG QUỐC GIA
DĐT	DIỄN ĐÀN TOÁN
ĐDT	ĐÀO DUY TỪ
ĐDTC	ĐIỀU DƯỠNG TRUNG CẤP
DDTĐC	DI DÂN TÁI ĐỊNH CƯ
DĐTM	DI ĐỘNG THÔNG MINH
ĐDV	ĐIỀU DƯỠNG VIÊN
ĐĐV	ĐỒNG ĐẲNG VIÊN
DDVN	DUYÊN DÁNG VIỆT NAM
DECO	ĐỀ CÔ
DEHLI	ĐÊ HI
DELETE	ĐÌ LÍT
DELHI	ĐÊ HI
DELL	ĐEO
DELLO	ĐEN LÔ
DEMI	DE MI
DEMO	ĐỀ MÔ
DENISE	ĐÊ NÍT
DENNIS	ĐEN NÍT
DEPORTIVO	ĐÌ BỌT TI VÔ
DEPP	ĐÍP
DERBY	ĐÊ BY
DESCHAMPS	ĐỜ SEM
DESIGN	ĐÌ SAI
DESKTOP	ĐÉT TỐP
DESTINY	ĐÉT TI NY
ĐG	ĐẤU GIÁ
ĐGH	ĐỨC GIÁO HOÀNG
ĐH	ĐẠI HỌC
ĐHAG	ĐẠI HỌC AN GIANG
ĐHB	ĐOÀN HÁT BỘI
ĐHBC	ĐẠI HỌC BÁN CÔNG
DHBK	ĐẠI HỌC BÁCH KHOA
ĐHBK	ĐẠI HỌC BÁCH KHOA
ĐHBKHN	ĐẠI HỌC BÁCH KHOA HÀ NỘI
ĐHC	ĐẠI HỒNG CHUNG
ĐHCĐ	ĐẠI HỌC CAO ĐẲNG
ĐHCĐVN	ĐẠI HỘI CÔNG ĐOÀN VIỆT NAM
ĐHCLC	ĐẠI HỌC CHẤT LƯỢNG CAO
ĐHCN	ĐẠI HỌC CÔNG NGHIỆP
ĐHCNTT	ĐẠI HỌC CÔNG NGHỆ THÔNG TIN
ĐHCNVC	ĐẠI HỘI CÔNG NHÂN VIÊN CHỨC
ĐHCQ	ĐẠI HỌC CHÍNH QUY
ĐHCT	ĐẠI HỌC CẦN THƠ
ĐHD	ĐỖ HOÀNG DIỆU
ĐHĐ	ĐẠI HỘI ĐỒNG
ĐHĐCĐ	ĐẠI HỘI ĐỒNG CỔ ĐÔNG
ĐHĐCQT	ĐẠI HỌC ĐẲNG CẤP QUỐC TẾ
ĐHĐD	ĐẠI HỌC ĐÔNG DƯƠNG
ĐHDL	ĐẠI HỌC DÂN LẬP
ĐHĐL	ĐẠI HỌC ĐÀ LẠT
ĐHĐLHQ	ĐẠI HỘI ĐỒNG LIÊN HỢP QUỐC
ĐHDLKT	ĐẠI HỌC DÂN LẬP KỸ THUẬT
ĐHĐN	ĐẠI HỌC ĐÀ NẴNG
DHG	DƯỢC HẬU GIANG
ĐHGTVT	ĐẠI HỌC GIAO THÔNG VẬN TẢI
ĐHH	ĐẠI HỌC HUẾ
ĐHHĐ	ĐẠI HỌC HIỆN ĐẠI
ĐHHH	ĐẠI HỌC HÀNG HẢI
ĐHHHVN	ĐẠI HỌC HÀNG HẢI VIỆT NAM
ĐHHN	ĐẠI HỌC HÀ NỘI
ĐHHP	ĐẠI HỌC HẢI PHÒNG
ĐHHT	ĐỒNG HƯƠNG HÀ TĨNH
ĐHKH	ĐẠI HỌC KHOA HỌC
ĐHKHTN	ĐẠI HỌC KHOA HỌC TỰ NHIÊN
ĐHKHTNHN	ĐẠI HỌC KHOA HỌC TỰ NHIÊN HÀ NỘI
ĐHKHXH	ĐẠI HỌC KHOA HỌC XÃ HỘI
ĐHKHXHNV	ĐẠI HỌC KHOA HỌC XÃ HỘI NHÂN VĂN
ĐHKN	ĐIỀU HÒA KINH NGUYỆT
ĐHKT	ĐẠI HỌC KINH TẾ
ĐHKTQD	ĐẠI HỌC KINH TẾ QUỐC DÂN
ĐHL	ĐẠI HỌC LUẬT
ĐHLĐ	ĐẠI HỘI LIÊN ĐOÀN
ĐHM	ĐẠI HỌC MỞ
ĐHMTCN	ĐẠI HỌC MỸ THUẬT CÔNG NGHIỆP
DHN	ĐÊM HÀ NỘI
ĐHN	ĐIỆN HẠT NHÂN
ĐHNĐ	ĐIỀU HÒA NHIỆT ĐỘ
ĐHNH	ĐẠI HỌC NGÂN HÀNG
ĐHNL	ĐẠI HỌC NÔNG LÂM
ĐHNN	ĐẠI HỌC NGOẠI NGỮ
ĐHNNHN	ĐẠI HỌC NGOẠI NGỮ HÀ NỘI
ĐHNT	ĐẠI HỌC NGHỆ THUẬT
ĐHP	ĐIỂM HỌC PHẦN
ĐHQB	ĐẠI HỌC QUẢNG BÌNH
ĐHQG	ĐẠI HỌC QUỐC GIA
ĐHQGHN	ĐẠI HỌC QUỐC GIA HÀ NỘI
ĐHQGVN	ĐẠI HỌC QUỐC GIA VIỆT NAM
ĐHQN	ĐẠI HỌC QUY NHƠN
ĐHQS	ĐẠI HỌC QUÂN SỰ
ĐHSK	ĐẠI HỌC SÂN KHẤU
ĐHSKĐA	ĐẠI HỌC SÂN KHẤU ĐIỆN ẢNH
ĐHSP	ĐẠI HỌC SƯ PHẠM
ĐHSPBK	ĐẠI HỌC SƯ PHẠM BẮC KINH
ĐHSPHN	ĐẠI HỌC SƯ PHẠM HÀ NỘI
ĐHSPKT	ĐẠI HỌC SƯ PHẠM KỸ THUẬT
DHSVN	DU HỌC SINH VIỆT NAM
ĐHT	ĐÔNG HƯNG THUẬN
ĐHTB	ĐỘI HÌNH TIÊU BIỂU
DHTC	DU HỌC TẠI CHỖ
ĐHTDTT	ĐẠI HỘI THỂ DỤC THỂ THAO
ĐHTH	ĐẠI HỌC TỔNG HỢP
ĐHTHHN	ĐẠI HỌC TỔNG HỢP HÀ NỘI
ĐHTM	ĐẠI HỌC THƯƠNG MẠI
ĐHTN	ĐẠI HỌC THÁI NGUYÊN
ĐHTT	ĐẠI HỌC TƯ THỤC
DHTV	ĐẠI HỌC TRÀ VINH
ĐHTV	ĐẠI HỌC TRÀ VINH
ĐHVH	ĐẠI HỌC VĂN HOÁ
ĐHVHHN	ĐẠI HỌC VĂN HÓA HÀ NỘI
ĐHVL	ĐẠI HỌC VĂN LANG
ĐHXD	ĐẠI HỌC XÂY DỰNG
ĐHY	ĐỨC HỒNG Y
ĐHYD	ĐẠI HỌC Y DƯỢC
ĐHYHN	ĐẠI HỌC Y HÀ NỘI
DIAL	ĐAI Ồ
DIAMOND	ĐAI MÂN
DIANA	ĐI A NA
DIAZ	DI ÁT
DICAPRIO	ĐI KA RI Ô
DIDA	ĐI ĐA
DIDIER	ĐI ĐAI Ơ
DIDO	ĐI ĐÔ
DIEGO	ĐI Ê GÔ
DIEZEL	ĐI Ê GIEN
DIEZEN	ĐI Ê DEN
DIGITAL	ĐI DI TỒ
DINAMO	DI NA MÔ
DION	ĐI ÔNG
DIOUF	ĐI ÚP
DIOXIDE	ĐI Ô XIN
DIOXIN	ĐI Ô XIN
DIPLOMA	ĐÍP LÔ MA
DISCOVERY	ĐÍT CO VƠ RY
DISNEY	ĐÍT NY
DISPLAY	ĐÍT LÂY
DIVA	ĐI VA
DJOKOVIC	GIO CÔ VÍCH
ĐK	ĐƯƠNG KIM
DKĐ	DỊCH KIỀM ĐEN
ĐKĐ	ĐĂNG KÝ ĐẤT
ĐKDN	ĐĂNG KÝ DOANH NGHIỆP
ĐKDT	ĐĂNG KÝ DỰ THI
ĐKĐT	ĐIỆN KẾ ĐIỆN TỬ
ĐKHĐ	ĐĂNG KÝ HOẠT ĐỘNG
ĐKHK	ĐĂNG KÝ HỘ KHẨU
ĐKHKTT	ĐĂNG KÝ HỘ KHẨU THƯỜNG TRÚ
ĐKK	ĐIỂM KHUYẾN KHÍCH
ĐKKD	ĐĂNG KÝ KINH DOANH
ĐKKH	ĐĂNG KÝ KẾT HÔN
ĐKKV	ĐA KHOA KHU VỰC
ĐKLA	ĐA KHOA LONG AN
ĐKLĐ	ĐIỀU KIỆN LAO ĐỘNG
ĐKPH	ĐĂNG KÝ PHÁT HÀNH
ĐKQG	ĐIỀN KINH QUỐC GIA
ĐKST	ĐA KHOA SÓC TRĂNG
DKT	DÂN KẾ TOÁN
ĐKTC	ĐĂNG KÝ THẾ CHẤP
ĐKTQT	ĐẠI KIỆN TƯỚNG QUỐC TẾ
ĐKTT	ĐĂNG KÝ THƯỜNG TRÚ
ĐKTƯCT	ĐA KHOA TRUNG ƯƠNG CẦN THƠ
ĐKU	ĐẶC KHU ỦY
ĐKV	ĐĂNG KIỂM VIÊN
ĐKVĐ	ĐƯƠNG KIM VÔ ĐỊCH
ĐKVĐQG	ĐƯƠNG KIM VÔ ĐỊCH QUỐC GIA
DKVN	DẦU KHÍ VIỆT NAM
ĐKVN	ĐĂNG KIỂM VIỆT NAM
ĐKXM	ĐĂNG KÝ XE MÁY
ĐKXT	ĐĂNG KÝ XÉT TUYỂN
DL	DÂN LẬP
ĐLBĐ	ĐẠI LÝ BƯU ĐIỆN
ĐLBTĐ	ĐỊNH LUẬT BẢO TOÀN ĐIỆN
ĐLBTKL	ĐỊNH LUẬT BẢO TOÀN KHỐI LƯỢNG
ĐLCL	ĐO LƯỜNG CHẤT LƯỢNG
ĐLĐ	ĐÁ LÓT ĐƯỜNG
ĐLĐĐ	ĐIỆN LỰC ĐỐNG ĐA
ĐLDK	ĐIỆN LỰC DẦU KHÍ
DLDKPĐ	DU LỊCH DẦU KHÍ PHƯƠNG ĐÔNG
ĐLĐN	ĐIỆN LỰC ĐÀ NẴNG
ĐLH	ĐÓM LỬA HỒNG
ĐLHN	ĐIỆN LỰC HÀ NỘI
DLHV	DÂN LẬP HÙNG VƯƠNG
DLKTCN	DÂN LẬP KỸ THUẬT CÔNG NGHỆ
ĐLLĐ	ĐIỆN LỰC LÂM ĐỒNG
ĐLNL	ĐẠI LÝ NHẬN LỆNH
DLNN	DU LỊCH NƯỚC NGOÀI
DLNT	DÂN LẬP NỘI TRÚ
DLS	DƯỢC LÂM SÀNG
ĐLTL	ĐIỆN LỰC TỪ LIÊM
DLTM	DU LỊCH THƯƠNG MẠI
ĐLTN	ĐIỆN LỰC THÁI NGUYÊN
ĐLTPHCM	ĐIỆN LỰC THÀNH PHỐ HỒ CHÍ MINH
ĐLTPKĐ	ĐỊNH LUẬT THÀNH PHẦN KHÔNG ĐỔI
DLVN	DU LỊCH VIẾT NAM
ĐLVN	ĐIỆN LỰC VIỆT NAM
DMAH	DÒNG MÁU ANH HÙNG
DMCT	DANH MỤC CÔNG TRÌNH
ĐMĐ	ĐAU MẮT ĐỎ
ĐMGD	ĐỔI MỚI GIÁO DỤC
ĐMHN	ĐẦU MÁY HÀ NỘI
ĐMN	ĐÁ MỸ NGHỆ
ĐMP	ĐÔNG MINH PHÁT
ĐMTC	ĐẦU MỐI TRÁI CÂY
DMVN	DỆT MAY VIỆT NAM
DN	DOANH NGHIỆP
ĐN	ĐÀ NẴNG
ĐNA	ĐÔNG NAM Á
